trade_date,ticker,name,action,shares,price_krw,sector,region,asset_group,funding_source,notes
2025-12-01,DAVE,Dave,buy,3,325077,Tech,해외,US individual,new_deposit,
2025-12-09,BIL,-,sell,15,134446,Cash,해외,US Index,new_deposit,
2026-01-07,PLTR,Plantir,buy,4,253021,Tech,해외,US individual,new_deposit,
2026-01-07,TSLA,Tesla,buy,2,644601,Tech,해외,US individual,new_deposit,
2026-01-07,MSFT,Microsoft,buy,1,685456,Tech,해외,US individual,new_deposit,
2026-01-07,BIL,-,sell,7,132307,Cash,해외,US Index,new_deposit,
2026-01-07,VSAT,Viasat,buy,8,54807,Tech,해외,US individual,new_deposit,
2026-01-12,UPRO,-,sell,5,178910,Tech Index,해외,US Index,new_deposit,
2026-01-12,CTVA,Corteva,buy,10,101893,Agriculture,해외,US individual,new_deposit,
2026-01-26,BIL,-,sell,10,130892,Cash,해외,US Index,new_deposit,
2026-01-26,MU,Micron,buy,1,550052,Tech,해외,US individual,new_deposit,
2026-01-26,B,Barrick,buy,1,71095,Tech,해외,US individual,new_deposit,
2026-01-28,BIL,-,sell,9,132040,Cash,해외,US Index,new_deposit,
2026-01-28,UPRO,-,sell,12,171645,Tech Index,해외,US Index,new_deposit,
2026-01-28,MU,Micron,buy,1,562735,Tech,해외,US individual,new_deposit,
2026-01-28,B,Barrick,buy,9,76049,Tech,해외,US individual,new_deposit,
2026-01-28,270810,KOSDAQ 150,buy,100,19700,Korea Index,한국,Korea Index,new_deposit,
2026-02-02,PLTR,Plantir,sell,12,221151,Tech,해외,US individual,new_deposit,
2026-02-03,IONQ,IONQ,sell,15,59424,Tech,해외,US individual,new_deposit,
2026-02-03,GOOGL,Google,buy,1,492247,Tech,해외,US individual,new_deposit,
2026-02-03,CTVA,Corteva,buy,5,103664,Agriculture,해외,US individual,new_deposit,
2026-02-03,DAVE,Dave,sell,2,237957,Tech,해외,US individual,new_deposit,
2026-02-03,ENPH,Enphase Energy,buy,20,53178,Energy,해외,US individual,new_deposit,
2026-02-03,XLF,XLF,buy,30,78101,Financial,해외,US Index,new_deposit,
2026-02-04,VXUS,VXUS,buy,16,117834,Total Market Index,해외,Non-US,new_deposit,
2026-02-25,AMZN,Amazon,buy,10,300902,Tech,해외,US individual,new_deposit,
2026-02-25,NVDA,NVDIA,buy,8,278742,Tech,해외,US individual,new_deposit,
2026-02-25,MSFT,Microsoft,buy,3,560547,Tech,해외,US individual,new_deposit,
2026-02-25,PLTR,Plantir,buy,10,186250,Tech,해외,US individual,new_deposit,
2026-02-25,GOOGL,Google,buy,2,448915,Tech,해외,US individual,new_deposit,
2026-03-06,UPRO,-,sell,20,165384,Tech Index,해외,US Index,new_deposit,
2026-03-09,UPRO,-,sell,20,152891,Tech Index,해외,US Index,new_deposit,
2026-03-11,218410,RFHIC,sell,20,90500,Tech,한국,Korea Individual,new_deposit,
2026-03-30,BIL,-,sell,10,138969,Cash,해외,US Index,new_deposit,
2026-04-09,BIL,-,sell,10,135283,Cash,해외,US Index,new_deposit,
2026-04-09,PLTR,Plantir,buy,7,192754,Tech,해외,US individual,new_deposit,
2026-04-30,379780,S&P500,buy,23,22960,US Index,한국,US Index,new_deposit,
2026-04-30,102110,KOSPI200,buy,5,100630,Korea Index,한국,Korea Index,new_deposit,
2026-04-30,270810,KOSDAQ 150,buy,50,19890,Korea Index,한국,Korea Index,new_deposit,
2026-04-30,368590,Nasdaq,buy,7,29905,Tech Index,한국,US Index,new_deposit,
2026-04-30,379780,S&P500,buy,40,22990,US Index,한국,US Index,new_deposit,
2026-04-30,CLS,Celestica,buy,2,546786,Tech,해외,US individual,new_deposit,
2026-04-30,ALL,Allstate,buy,3,320272,Tech,해외,US individual,new_deposit,
2026-04-30,BIL,-,sell,10,135620,Cash,해외,US Index,new_deposit,
2026-06-04,PLTR,Plantir,buy,4,237169,Tech,해외,US individual,new_deposit,
2026-06-04,GOOGL,Google,buy,1,552868,Tech,해외,US individual,new_deposit,
2026-06-04,TSLA,Tesla,sell,2,635152,Tech,해외,US individual,new_deposit,
2026-06-04,2328,PICC,sell,2000,2811,Insurance,해외,Non-US,new_deposit,
2026-06-04,ILIT,Lithium,sell,31,31360,Base Material,해외,Base Material,new_deposit,
2026-06-04,ENPH,Enphase Energy,buy,7,102169,Energy,해외,US individual,new_deposit,
2026-06-04,XLF,XLF,sell,10,78883,Financial,해외,US Index,new_deposit,
2026-06-04,CRCL,Circle,buy,5,153997,Tech,해외,US individual,new_deposit,
